File Format	API FileType	Data Modality	Subtype	Extensions	Icon	SVG	Viewer Type	Group Logic	Package Type	Notes
Aperio	Aperio	Image		.svs	Microscope	icon-microscope.svg	Image	Single file
EPS	EPS	Image	2D	.eps, .ps	Image	icon-image.svg	Image	Single file
Imaris	Imaris	Image	2DStack	.ims	Microscope	icon-microscope.svg	Image	Single file
JPEG	JPEG	Image	2D	.jpg, .jpeg	Image 	icon-image.svg	Image	Single file
JPEG-2000	JPEG	Image	2D	.jp2	Image	icon-image.svg	Image	Single file
Layered Image File Format	LIFF	Image	2DStack	.liff	Microscope	icon-microscope.svg	Image	Single file
Leica	Leica	Image	2DStack	.lif	Microscope	icon-microscope.svg	Image	Single file
Matlab Figure	MatlabFigure	Generic		.fig	Image	icon-image.svg	Image	Single file
Nikon	Nikon	Image		.nd2	Microscope	icon-microscope.svg	Image	Single file
PNG	PNG	Image	2D	.png	Image	icon-image.svg	Image	Single file
Regular TIFF	TIFF	Image	2D	.tiff, .tif	Image	icon-image.svg	Image	Single file
Multi-page TIFF	MPTIFF	Image	2D	.tiff, .tif	Image	icon-image.svg	Image	Single file
OME-TIFF	OMETIFF	Image	NDStack	.ome.tiff, .ome.tif, .ome.tf2, .ome.tf8, .ome.btf	Microscope	icon-microscope.svg	Image	If none of the other types that have .ome.tif/.ome.tiff match, then Single file
Bruker PrairieView TIFF	BRUKERTIFF	Image	NDStack	.ome.tiff/.ome.tif + .xml + .env	Microscope	icon-microscope.svg	Image	If all --> XML points to TIFF assets
Zeiss 	CZI	Image	2DStack	.czi	Microscope	icon-microscope.svg	Image	Single file
Zeiss AxioVision ZVI (Zeiss Vision Image)	ZVI	Image	2DStack	.zvi	Microscope	icon-microscope.svg	Image	Single file
AFNI	AFNI	3D Imaging		.afni	Clinical Image (Brain)	icon-clinical.svg	MRI	Single file
AFNI	AFNIBRIK	3D Imaging		.brik, .head	Clinical Image (Brain)	icon-3d.svg	MRI	Group if both .brik and .head exists, group based on filename.
Analyze	ANALYZE	3D Imaging		.hdr, .img	Clinical Image (Brain)	icon-clinical.svg	MRI	Group if both .hdr and .img exists, group based on filename
DICOM	DICOM	3D Imaging		.dicom	Clinical Image (Brain)	icon-clinical.svg	MRI	Group files with same extension (in same directory)
MGH	MGH	3D Imaging		.mgh, .mgz, .mgh.gz	Clinical Image (Brain)	icon-clinical.svg	MRI	Single file
MINC	MINC	3D Imaging		.mnc	Clinical Image (Brain)	icon-clinical.svg	MRI	Single file
NIFTI	NIFTI	3D Imaging		.nii,.nii.gz	Clinical Image (Brain)	icon-clinical.svg	MRI	Single file
Adobe Illustrator	AdobeIllustrator	Generic	illustrator	.ai	Adobe Illustrator (Vector)	icon-vector.svg	NA	Single file
Ansys	Ansys	SourceCode	Ansys	.aedt	Code	icon-code.svg	NA	Single file
BAM	BAM	Genomics	Binary	.bam, .bcl, .bcl.gz, .bin	Genomics	icon-genomics.svg	NA	SIngle file
Shell	Shell	SourceCode	Shell	.sh, .bash, .csh, .tcsh, .zsh	Code	icon-code.svg	NA	Single file
C#	CSharp	SourceCode	C#		Code	icon-code.svg	NA	Single file
C++	CPlusPlus	SourceCode	C++		Code	icon-code.svg	NA	Single file
COMSOL	COMSOL	3D Model		.mph	Model (xyz coordinates)	icon-3d.svg	NA	Single file
Data	Data	Generic		.dat, .data, .bin, .raw	Generic Data	icon-generic.svg	NA	Single file
Docker	Docker	Generic		Dockerfile	Docker	icon-docker.svg	NA	Single File		Match explicitly by name
FACS	FACS	Flow		.fcs	Flow	icon-generic.svg	NA	Single file
Freesurfer Surface	FreesurferSurface	3D Imaging	Surface	.lh, .rh, .curv	Clinical Image (Brain)	icon-clinical.svg	NA	Single file
FSFast	FSFast	Aggregate	Freesurfer		Generic	icon-generic.svg	NA	Directory structure		https://surfer.nmr.mgh.harvard.edu/fswiki/FsFastTutorialV5.1/FsFastDirStruct
HDF5	HDF5	Aggregate	HDF	.hdf5	HDF5	icon-generic.svg	NA	Single file
JAVA 	JAVA	SourceCode	JAVA		Code	icon-code.svg	NA
Javascript	Javascript	SourceCode	Javascript		Code	icon-code.svg	NA
JSON	Json	JSON		.json	JSON	icon-code.svg	NA	SIngle file
Jupyter Notebook	Jupyter	Notebook			Notebook	icon-notebook.svg	NA	Single file
Markdown	Markdown	SourceCode	Markdown	.md	Code	icon-code.svg	NA	Single file
Matlab	MAT	Aggregate	Matlab	.mat, .mex	Matlab	icon-matlab.svg	NA	Single file
Matlab Code	MATLAB	SourceCode	Matlab	.m	Code	icon-code.svg	NA	Single file
Minitab	Minitab	Aggregate		.mpj, .mtw, .mgf	Generic Data	icon-generic.svg	NA	Single file
NeuroDataWithoutBorders	NeuroDataWithoutBorders	Aggregate	NDWB	.nwb	NWB	icon-generic.svg	NA	Single file
NEURON Code	Neuron	SourceCode	Neuron	.hoc, .mod	Code	icon-code.svg	NA	Single file
PDF	PDF	PDF	PDF		PDF	icon-acrobat.svg	NA	Single file
Powerpoint	PowerPoint	Presentation		.ppt, .pptx	Powerpoint	icon-powerpoint.svg	NA	Single file
Python	Python	SourceCode	Python	.py	Code	icon-code.svg	NA	Single file
R	R	SourceCode	R	.r	Code	icon-code.svg	NA	Single file
R Data	RData	Aggregate		.rdata	RData (R logo)	icon-r.svg	NA	Single file
SolidWorks	SolidWorks	3D Model		.sldasm, .slddrw	Model (xyz coordinates)	icon-3d.svg	NA	Single file
TXT	Text	Text		.txt, .text	Text	icon-text.svg	NA	Single file
Word	MSWord	Generic	MSWord	.dox, .docx	Word	icon-word.svg	NA	Single file
XML	XML	Meta-data		.xml	XML (Code)	icon-code.svg	NA	Single file
YAML	YAML	SourceCode	YAML		Code	icon-code.svg	NA
ZIP	ZIP	Aggregate		.zip, .tar, .tar.gz	Zip	icon-zip.svg	NA	Single file
CSV	CSV	Tabular		.csv	Tabular	icon-tabular.svg	Tabular	Single file
Excel	MSExcel	Tabular		.xls, .xlsx	Excel	icon-excel.svg	Tabular	Single file
FASTQ	FASTQ	Genomics	Tabular	.fastq	Genomics	icon-genomics.svg	Tabular	Single file
FASTA	FASTA	Genomics	Tabular	.fasta	Genomics	icon-genomics.svg	Tabular	Single file
TSV	TSV	Tabular		.tsv	Tabular	icon-tabular.svg	Tabular	Single file
Variant Data	VariantData	Genomics	Tabular	.vcf	Genomics Variant	icon-genomics.svg	Tabular	Single file
Apache Feather	Feather	Timeseries		.feather	Timeseries	icon-timeseries.svg	Time Series	Single file
BIODAC	BIODAC	Timeseries		.tab	Timeseries	icon-timeseries.svg	Time Series	Single file
BioPAC	BioPAC	Timeseries		.acq	Timeseries	icon-timeseries.svg	Time Series	Single file
Blackfynn	BFTS	Timeseries		.bfts	Timeseries	icon-timeseries.svg	Time Series	Single file
EDF	EDF	TImeseries		.edf	Timeseries	icon-timeseries.svg	Time Series	Goup and append files with same name prefix '_'
Intan	Intan	Timeseries		.rhd, .dat	Timeseries	icon-timeseries.svg	Time Series	Group and append files based on folder structure
IV Curve Data	IVCurveData	Timeseries		.ibw	Timeseries	icon-timeseries.svg	Time Series	SIngle file
